Luas Penutupan Lahan Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2014-2023 Menurut Kelas (Ribu Ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Penutupan Lahan,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,
,,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL
,A. Hutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Rawa,1 193.6, 343.4,1 537.0,1 217.0, 344.5,1 561.5,1 085.4, 298.7,1 384.0,1 155.5, 287.6,1 443.1,1 140.2, 281.3,1 421.5,1 025.5, 278.5,1 304.0,1 028.7, 279.5,1 308.2,1 167.3, 373.7,1 541.0,1 350.1, 328.5,1 678.6,1 443.0, 338.7,1 781.7
21,Pelabuhan Udara/Laut, 0.5, 18.1, 18.6, 0.5, 20.0, 20.5, 0.7, 20.6, 21.3, 0.6, 20.9, 21.5, 1.1, 21.7, 22.9, 1.0, 23.9, 24.9, 1.3, 25.6, 26.9, 1.1, 27.6, 28.7, 1.1, 31.0, 32.2, 1.1, 31.5, 32.5
,Jumlah Non Hutan,32 634.2,59 351.3,91 985.5,33 936.8,58 787.1,92 723.9,32 695.6,59 784.4,92 480.0,34 540.3,59 261.9,93 802.1,34 763.6,59 462.1,94 225.7,33 382.0,60 255.8,93 637.8,31 848.4,60 341.5,92 189.9,30 515.8,61 828.0,92 343.5,29 901.9,61 716.4,91 618.3,29 833.7,61 873.6,91 707.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,120 770.3,66 981.6,187 751.9,120 562.4,67 189.5,187 751.9,120 423.8,67 328.0,187 751.9,120 390.1,67 361.7,187 751.9,120 385.7,67 366.2,187 751.9,120 281.6,67 470.3,187 751.9,120 261.6,67 490.2,187 751.9,118 365.5,69 313.7,187 679.0,118 194.7,69 393.0,187 587.6,118 193.2,69 745.5,187 938.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keterangan,": Tubuh air (danau, sungai besar, laut (kawasan konservasi perairan) tidak termasuk  dalam penghitungan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(*,": Hutan tanaman berdasarkan penafsiran  citra adalah kelas penutupan lahan hutan  yang merupakan hasil budidaya manusia, meliputi seluruh Hutan tanaman baik Hutan Tanaman Industri/IUPHHK-HT maupun  Hutan tanaman yang merupakan hasil reboisasi/penghijauan yang berada  di dalam maupun  di luar kawasan  hutan; terlihat dari citra mempunyai  pola tanam  yang teratur  pada area datar, sedangkan untuk daerah  bergelombang terlihat warna citra yang berbeda dengan lingkungan sekitarnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber ,": Buku Rekalkulasi Penutupan Lahan Indonesia Tahun 2014-2023, Kementerian Lingkungan Hidup dan Kehutanan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
